"MGRS_10km","n.taxa","n.neigh","ratio","diff"
"29SPC60",145,685,3.72413793103448,540
"29SPC63",53,706,12.3207547169811,653
"29SPC62",394,747,0.895939086294416,353
"29SPC65",79,287,2.63291139240506,208
"29SPC64",66,318,3.81818181818182,252
"29SPC99",223,739,2.31390134529148,516
"29SPC92",165,707,3.28484848484848,542
"29SPC91",293,768,1.62116040955631,475
"29SPC94",452,749,0.657079646017699,297
"29SPC93",289,744,1.57439446366782,455
"29SPC96",199,847,3.25628140703518,648
"29SPC95",333,852,1.55855855855856,519
"29SPC98",188,723,2.84574468085106,535
"29SPC97",291,841,1.89003436426117,550
"29SPC90",430,893,1.07674418604651,463
"29SPC89",133,881,5.62406015037594,748
"29SPC88",228,796,2.49122807017544,568
"29SPC81",262,785,1.99618320610687,523
"29SPC80",247,712,1.88259109311741,465
"29SPC83",147,835,4.68027210884354,688
"29SPC82",297,768,1.58585858585859,471
"29SPC85",105,630,5,525
"29SPC84",74,659,7.90540540540541,585
"29SPC87",198,625,2.15656565656566,427
"29SPC86",110,614,4.58181818181818,504
"29SPC34",30,538,16.9333333333333,508
"29SPC33",11,574,51.1818181818182,563
"29SPC36",35,561,15.0285714285714,526
"29SPC35",190,569,1.99473684210526,379
"29SPC38",237,617,1.60337552742616,380
"29SPC37",115,577,4.01739130434783,462
"29SPC39",297,612,1.06060606060606,315
"29SPC30",274,589,1.14963503649635,315
"29SPC32",355,544,0.532394366197183,189
"29SPC31",72,633,7.79166666666667,561
"29SPC23",31,587,17.9354838709677,556
"29SPC22",84,555,5.60714285714286,471
"29SPC25",164,490,1.98780487804878,326
"29SPC24",185,526,1.84324324324324,341
"29SPC27",100,523,4.23,423
"29SPC26",142,482,2.3943661971831,340
"29SPC29",194,675,2.47938144329897,481
"29SPC28",235,602,1.56170212765957,367
"29SND75",49,464,8.46938775510204,415
"29SND74",38,339,7.92105263157895,301
"29SND77",316,637,1.01582278481013,321
"29SND76",53,604,10.3962264150943,551
"29SND79",260,660,1.53846153846154,400
"29SND78",224,622,1.77678571428571,398
"29SPC21",144,619,3.29861111111111,475
"29SPC20",302,590,0.95364238410596,288
"29SND71",183,558,2.04918032786885,375
"29SND70",183,546,1.98360655737705,363
"29SND73",38,392,9.31578947368421,354
"29SND72",161,501,2.11180124223602,340
"29SPC19",137,597,3.35766423357664,460
"29SPC56",65,531,7.16923076923077,466
"29SPC55",27,490,17.1481481481481,463
"29SPC58",304,696,1.28947368421053,392
"29SPC57",34,580,16.0588235294118,546
"29SPC59",406,824,1.02955665024631,418
"29SND64",133,258,0.93984962406015,125
"29SND63",29,336,10.5862068965517,307
"29SPC50",316,674,1.13291139240506,358
"29SND66",251,586,1.33466135458167,335
"29SND65",81,468,4.77777777777778,387
"29SPC52",212,641,2.02358490566038,429
"29SND68",176,695,2.94886363636364,519
"29SPC51",280,725,1.58928571428571,445
"29SND67",142,668,3.70422535211268,526
"29SPC54",79,509,5.44303797468354,430
"29SPC53",121,588,3.8595041322314,467
"29SND69",258,781,2.02713178294574,523
"29SND60",46,595,11.9347826086957,549
"29SND62",13,486,36.3846153846154,473
"29SND61",217,541,1.49308755760369,324
"29SPC45",353,506,0.43342776203966,153
"29SPC44",137,501,2.65693430656934,364
"29SPC47",74,566,6.64864864864865,492
"29SPC46",95,505,4.31578947368421,410
"29SPC49",19,779,40,760
"29SPC48",266,707,1.65789473684211,441
"29SND97",282,594,1.1063829787234,312
"29SND96",123,504,3.09756097560976,381
"29SND99",175,602,2.44,427
"29SND98",266,632,1.37593984962406,366
"29SPC41",246,675,1.74390243902439,429
"29SPC40",256,636,1.484375,380
"29SPC43",120,557,3.64166666666667,437
"29SPC42",248,587,1.36693548387097,339
"29SND91",52,482,8.26923076923077,430
"29SND90",34,427,11.5588235294118,393
"29SND93",36,421,10.6944444444444,385
"29SND92",137,463,2.37956204379562,326
"29SND95",101,338,2.34653465346535,237
"29SND94",61,345,4.65573770491803,284
"29SND86",87,554,5.36781609195402,467
"29SND85",43,331,6.69767441860465,288
"29SND88",230,634,1.75652173913043,404
"29SND87",297,622,1.09427609427609,325
"29SND89",237,627,1.64556962025316,390
"29SND80",155,522,2.36774193548387,367
"29SND82",167,480,1.87425149700599,313
"29SND81",200,544,1.72,344
"29SND84",112,303,1.70535714285714,191
"29SND83",113,409,2.61946902654867,296
"29SND31",149,494,2.31543624161074,345
"29SND30",120,571,3.75833333333333,451
"29SND33",110,545,3.95454545454545,435
"29SND32",157,502,2.19745222929936,345
"29SND35",139,612,3.40287769784173,473
"29SND34",91,532,4.84615384615385,441
"29SND37",420,804,0.914285714285714,384
"29SND36",285,730,1.56140350877193,445
"29SND28",388,897,1.31185567010309,509
"29SND27",443,876,0.977426636568849,433
"29SND29",84,767,8.13095238095238,683
"29SND20",91,577,5.34065934065934,486
"29SND22",246,587,1.38617886178862,341
"29SND21",150,555,2.7,405
"29SND24",184,696,2.78260869565217,512
"29SND23",140,657,3.69285714285714,517
"29SND26",307,856,1.78827361563518,549
"29SND25",269,736,1.7360594795539,467
"29SND17",499,839,0.681362725450902,340
"29SND16",323,853,1.64086687306502,530
"29SND19",279,764,1.73835125448029,485
"29SND18",392,861,1.19642857142857,469
"29SND53",24,340,13.1666666666667,316
"29SND52",125,421,2.368,296
"29SND55",37,528,13.2702702702703,491
"29SND54",23,314,12.6521739130435,291
"29SND57",149,685,3.59731543624161,536
"29SND56",206,621,2.01456310679612,415
"29SND59",284,778,1.73943661971831,494
"29SND58",192,734,2.82291666666667,542
"29SND51",172,463,1.69186046511628,291
"29SND50",170,552,2.24705882352941,382
"29SND49",389,748,0.922879177377892,359
"29SND42",142,461,2.24647887323944,319
"29SND41",118,486,3.11864406779661,368
"29SND44",92,344,2.73913043478261,252
"29SND43",51,402,6.88235294117647,351
"29SND46",115,692,5.01739130434783,577
"29SND45",81,523,5.45679012345679,442
"29SND48",175,787,3.49714285714286,612
"29SND47",190,763,3.01578947368421,573
"29SND40",155,556,2.58709677419355,401
"29SND39",127,755,4.94488188976378,628
"29SND38",319,833,1.61128526645768,514
"29SPC12",170,493,1.9,323
"29SPC11",83,585,6.04819277108434,502
"29SPC14",86,527,5.12790697674419,441
"29SPC13",218,526,1.41284403669725,308
"29SPC16",53,457,7.62264150943396,404
"29SPC15",192,468,1.4375,276
"29SPC18",129,487,2.77519379844961,358
"29SPC17",132,477,2.61363636363636,345
"29SPC10",387,579,0.496124031007752,192
"29SPC09",39,530,12.5897435897436,491
"29SPC08",62,431,5.95161290322581,369
"29SPC01",29,618,20.3103448275862,589
"29SPC00",146,572,2.91780821917808,426
"29SPC03",157,515,2.28025477707006,358
"29SPC02",146,579,2.96575342465753,433
"29SPC05",48,619,11.8958333333333,571
"29SPC04",39,482,11.3589743589744,443
"29SPC07",174,598,2.4367816091954,424
"29SPC06",18,650,35.1111111111111,632
"29SNE10",149,580,2.89261744966443,431
